year,territory,territory_order,territory_type,occupancy_status,num_housing_units
2021,el Poblenou,68,Neighbourhood,Main,13830.0
2021,el Guinardó,35,Neighbourhood,Not main,2118.0
2021,el Fort Pienc,5,Neighbourhood,Not main,2190.0
2021,el Poble-sec,11,Neighbourhood,Main,16335.0
2021,el Congrés i els Indians,62,Neighbourhood,Not main,885.0
2021,Baró de Viver,58,Neighbourhood,Main,1029.0
2021,Sant Andreu,9,District,Main,60972.0
2021,"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,Main,9996.0
2021,Verdun,51,Neighbourhood,Main,5340.0
2021,el Carmel,37,Neighbourhood,Not main,1347.0
2021,la Marina del Prat Vermell,12,Neighbourhood,Not main,306.0
2021,Provençals del Poblenou,71,Neighbourhood,Main,8373.0
2021,el Besòs i el Maresme,70,Neighbourhood,Not main,1422.0
2021,la Clota,42,Neighbourhood,Main,279.0
2021,Les Corts,4,District,Not main,7674.0
2021,el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,Main,15069.0
2021,la Dreta de l'Eixample,7,Neighbourhood,Not main,8244.0
2021,el Barri Gòtic,2,Neighbourhood,Main,6513.0
2021,Navas,63,Neighbourhood,Main,9255.0
2021,Sants,18,Neighbourhood,Main,17358.0
2021,Sants-Montjuïc,3,District,Main,75825.0
2021,les Roquetes,50,Neighbourhood,Main,6309.0
2021,les Roquetes,50,Neighbourhood,Not main,507.0
2021,el Guinardó,35,Neighbourhood,Main,15813.0
2021,el Fort Pienc,5,Neighbourhood,Main,13083.0
2021,Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,Not main,1857.0
2021,Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,Main,5409.0
2021,Canyelles,49,Neighbourhood,Not main,156.0
2021,la Trinitat Nova,53,Neighbourhood,Main,2994.0
2021,el Putxet i el Farró,27,Neighbourhood,Main,12528.0
2021,les Tres Torres,24,Neighbourhood,Not main,1281.0
2021,la Nova Esquerra de l'Eixample,9,Neighbourhood,Not main,5019.0
2021,la Vila de Gràcia,31,Neighbourhood,Not main,8232.0
2021,Torre Baró,54,Neighbourhood,Main,972.0
2021,la Font d'en Fargues,36,Neighbourhood,Main,3774.0
2021,Pedralbes,21,Neighbourhood,Not main,1143.0
2021,la Vall d'Hebron,41,Neighbourhood,Not main,636.0
2021,Can Peguera,47,Neighbourhood,Not main,111.0
2021,Ciutat Vella,1,District,Main,41193.0
2021,la Teixonera,38,Neighbourhood,Main,4998.0
2021,Sants-Montjuïc,3,District,Not main,12081.0
2021,el Barri Gòtic,2,Neighbourhood,Not main,3855.0
2021,la Prosperitat,52,Neighbourhood,Not main,1011.0
2021,la Teixonera,38,Neighbourhood,Not main,711.0
2021,el Congrés i els Indians,62,Neighbourhood,Main,6030.0
2021,Sant Genís dels Agudells,39,Neighbourhood,Main,2952.0
2021,la Sagrada Família,6,Neighbourhood,Not main,4566.0
2021,Nou Barris,8,District,Main,68604.0
2021,Can Peguera,47,Neighbourhood,Main,897.0
2021,Can Baró,34,Neighbourhood,Main,3903.0
2021,la Prosperitat,52,Neighbourhood,Main,11019.0
2021,la Trinitat Vella,57,Neighbourhood,Main,3708.0
2021,Sarrià-Sant Gervasi,5,District,Not main,15609.0
2021,Sant Gervasi - la Bonanova,25,Neighbourhood,Main,9549.0
2021,la Barceloneta,3,Neighbourhood,Not main,2430.0
2021,la Maternitat i Sant Ramon,20,Neighbourhood,Main,9852.0
2021,la Marina de Port,13,Neighbourhood,Main,12138.0
2021,Ciutat Vella,1,District,Not main,16473.0
2021,Sant Antoni,10,Neighbourhood,Not main,3480.0
2021,Sants,18,Neighbourhood,Not main,3408.0
2021,Porta,45,Neighbourhood,Main,10455.0
2021,Sant Andreu,60,Neighbourhood,Main,24093.0
2021,Montbau,40,Neighbourhood,Not main,279.0
2021,Horta-Guinardó,7,District,Not main,9906.0
2021,Baró de Viver,58,Neighbourhood,Not main,42.0
