district_code,longitude,staircase,number_type,building_entrance,street_type,street_number_start,street_number_end,district_name,neighbourhood_name,generalitat_register_number,floor,door,letter2,number_of_places,expedient_number,letter1,latitude,block,street_name,neighbourhood_code,id
02,"2,16823197855417",,1,,Carrer,111,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005351,1,1A,,4,02-2013-0404,,"41,3968635216653",,GIRONA,07,2856
02,"2,16823197855417",,1,,Carrer,111,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005457,1,1B,,4,02-2013-0405,,"41,3968635216653",,GIRONA,07,2857
02,"2,166628036818",,2,,Gran Via,620,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005349,04,1,,11,02-2013-0406,,"41,3878527097083",,CORTS CATALANES,07,2858
02,"2,16264181641664",,1,,Carrer,45,,L'EIXAMPLE,Sant Antoni,HUTB-005357,02,2,,3,02-2013-0409,,"41,3772100878361",,COMTE BORRELL,10,2859
02,"2,16264181641664",,1,,Carrer,45,,L'EIXAMPLE,Sant Antoni,HUTB-007574,EN,2,,5,02-2013-0410,,"41,3772100878361",,COMTE BORRELL,10,2860
02,"2,16264181641664",,1,,Carrer,45,,L'EIXAMPLE,Sant Antoni,HUTB-005458,01,2,,5,02-2013-0411,,"41,3772100878361",,COMTE BORRELL,10,2861
02,"2,15802520834691",,1,,Carrer,71,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005354,05,1,,3,02-2013-0414,,"41,3858206609235",,CASANOVA,08,2862
02,"2,17262318548019",,1,,Carrer,229,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005372,PR,2,,4,02-2013-0421,,"41,40036549918",,NAPOLS,07,2863
02,"2,16264181641664",,1,,Carrer,45,,L'EIXAMPLE,Sant Antoni,HUTB-005375,03,2,,3,02-2013-0425,,"41,3772100878361",,COMTE BORRELL,10,2864
02,"2,17023120615671",I,2,,Carrer,358,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005378,04,2,,5,02-2013-0428,,"41,3977590789564",,VALENCIA,07,2865
02,"2,17262318548019",,1,,Carrer,229,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005380,02,3,,4,02-2013-0429,,"41,40036549918",,NAPOLS,07,2866
